"_id","employee_id","date","hostname","os","login_time","logout_time","active_hours"
"ObjectId(""6849ef87ab2373184fe07c09"")","E001","2025-06-01","email-29.valdez.info","macOS","09:56","19:38",10.1
"ObjectId(""6849ef87ab2373184fe07c0a"")","E001","2025-06-02","lt-05.luna-lee.com","macOS","07:50","17:11",9.9
"ObjectId(""6849ef87ab2373184fe07c0b"")","E001","2025-06-03","lt-56.nguyen-williams.com","Linux","08:41","15:07",7.2
"ObjectId(""6849ef87ab2373184fe07c0c"")","E001","2025-06-04","web-12.mann.com","macOS","09:51","18:13",9
"ObjectId(""6849ef87ab2373184fe07c0d"")","E001","2025-06-05","laptop-72.walker.biz","Linux","08:35","16:38",8.2
"ObjectId(""6849ef87ab2373184fe07c0e"")","E001","2025-06-06","email-74.kaufman.com","Linux","08:33","16:04",7.5
"ObjectId(""6849ef87ab2373184fe07c0f"")","E001","2025-06-07","desktop-06.jones.net","Linux","07:38","16:07",9.1
"ObjectId(""6849ef87ab2373184fe07c10"")","E001","2025-06-08","lt-67.smith.com","Windows","10:47","18:32",7.6
"ObjectId(""6849ef87ab2373184fe07c11"")","E001","2025-06-09","db-94.williams.com","Windows","09:30","18:53",9.2
"ObjectId(""6849ef87ab2373184fe07c12"")","E001","2025-06-10","desktop-22.gregory.com","Linux","09:03","17:34",8.6
"ObjectId(""6849ef87ab2373184fe07c13"")","E002","2025-06-01","web-92.peck.com","macOS","08:25","15:48",7.2
"ObjectId(""6849ef87ab2373184fe07c14"")","E002","2025-06-02","srv-20.hill.com","Windows","10:29","20:44",9.4
"ObjectId(""6849ef87ab2373184fe07c15"")","E002","2025-06-03","desktop-82.henderson.com","Linux","09:42","16:12",7.5
"ObjectId(""6849ef87ab2373184fe07c16"")","E002","2025-06-04","desktop-89.curry-moore.com","macOS","07:38","14:12",6.9
"ObjectId(""6849ef87ab2373184fe07c17"")","E002","2025-06-05","lt-92.lane-thomas.com","macOS","10:53","17:54",6.7
"ObjectId(""6849ef87ab2373184fe07c18"")","E002","2025-06-06","email-52.kramer.com","macOS","08:26","17:25",9
"ObjectId(""6849ef87ab2373184fe07c19"")","E002","2025-06-07","srv-97.smith.com","Windows","07:28","14:41",6.2
"ObjectId(""6849ef87ab2373184fe07c1a"")","E002","2025-06-08","web-71.bonilla.info","Linux","07:22","14:00",6.6
"ObjectId(""6849ef87ab2373184fe07c1b"")","E002","2025-06-09","lt-26.davis-oliver.info","macOS","07:33","16:15",9.4
"ObjectId(""6849ef87ab2373184fe07c1c"")","E002","2025-06-10","db-72.rodriguez-nguyen.net","macOS","09:51","18:01",9.4
"ObjectId(""6849ef87ab2373184fe07c1d"")","E003","2025-06-01","desktop-68.nunez.com","Linux","09:35","18:11",8.6
"ObjectId(""6849ef87ab2373184fe07c1e"")","E003","2025-06-02","srv-25.hernandez.org","macOS","07:32","17:46",10.1
"ObjectId(""6849ef87ab2373184fe07c1f"")","E003","2025-06-03","web-87.weeks-cole.com","Linux","09:39","18:29",9
"ObjectId(""6849ef87ab2373184fe07c20"")","E003","2025-06-04","laptop-70.chang.info","Linux","08:30","16:24",8
"ObjectId(""6849ef87ab2373184fe07c21"")","E003","2025-06-05","email-63.clark.net","Linux","09:30","16:26",6.6
"ObjectId(""6849ef87ab2373184fe07c22"")","E003","2025-06-06","laptop-76.baker.com","Windows","08:22","17:33",9.8
"ObjectId(""6849ef87ab2373184fe07c23"")","E003","2025-06-07","web-70.dunn-thomas.com","Linux","07:30","14:59",6.8
"ObjectId(""6849ef87ab2373184fe07c24"")","E003","2025-06-08","desktop-93.allen.com","macOS","10:26","20:39",9.8
"ObjectId(""6849ef87ab2373184fe07c25"")","E003","2025-06-09","lt-34.foster.net","macOS","07:32","16:09",9
"ObjectId(""6849ef87ab2373184fe07c26"")","E003","2025-06-10","web-45.herring.org","Linux","10:07","19:03",9.1
"ObjectId(""6849ef87ab2373184fe07c27"")","E004","2025-06-01","desktop-09.kerr.biz","Linux","07:54","15:48",7.8
"ObjectId(""6849ef87ab2373184fe07c28"")","E004","2025-06-02","laptop-58.frost.com","macOS","10:20","17:23",7.5
"ObjectId(""6849ef87ab2373184fe07c29"")","E004","2025-06-03","web-16.moyer.net","Windows","07:24","17:05",9.6
"ObjectId(""6849ef87ab2373184fe07c2a"")","E004","2025-06-04","srv-87.doyle.com","Windows","10:51","18:10",7.6
"ObjectId(""6849ef87ab2373184fe07c2b"")","E004","2025-06-05","db-85.ramirez-bennett.net","Linux","09:25","16:49",7
"ObjectId(""6849ef87ab2373184fe07c2c"")","E004","2025-06-06","desktop-81.brown-may.com","macOS","08:55","17:04",9.2
"ObjectId(""6849ef87ab2373184fe07c2d"")","E004","2025-06-07","laptop-07.cabrera.com","Windows","10:50","18:45",7.7
"ObjectId(""6849ef87ab2373184fe07c2e"")","E004","2025-06-08","srv-66.allen-brown.info","macOS","07:57","14:26",6.6
"ObjectId(""6849ef87ab2373184fe07c2f"")","E004","2025-06-09","web-55.marshall.biz","macOS","09:54","19:55",10.1
"ObjectId(""6849ef87ab2373184fe07c30"")","E004","2025-06-10","laptop-27.martinez-orozco.com","macOS","08:16","15:39",7.4
"ObjectId(""6849ef87ab2373184fe07c31"")","E005","2025-06-01","srv-41.miller.biz","macOS","08:31","18:42",10.1
"ObjectId(""6849ef87ab2373184fe07c32"")","E005","2025-06-02","email-64.morales.com","Linux","07:30","17:49",10.6
"ObjectId(""6849ef87ab2373184fe07c33"")","E005","2025-06-03","desktop-33.silva.biz","Linux","10:48","17:34",6.8
"ObjectId(""6849ef87ab2373184fe07c34"")","E005","2025-06-04","desktop-40.jones-nelson.org","Windows","07:19","17:24",10.3
"ObjectId(""6849ef87ab2373184fe07c35"")","E005","2025-06-05","laptop-59.krause.info","Windows","10:51","18:13",7.3
"ObjectId(""6849ef87ab2373184fe07c36"")","E005","2025-06-06","web-78.garcia-rodriguez.biz","Linux","09:49","19:28",10
"ObjectId(""6849ef87ab2373184fe07c37"")","E005","2025-06-07","email-78.smith.net","macOS","09:39","19:14",10.2
"ObjectId(""6849ef87ab2373184fe07c38"")","E005","2025-06-08","email-85.gomez.info","Windows","07:40","17:43",9.8
"ObjectId(""6849ef87ab2373184fe07c39"")","E005","2025-06-09","desktop-24.sanders.com","Linux","10:34","20:53",10.1
"ObjectId(""6849ef87ab2373184fe07c3a"")","E005","2025-06-10","lt-34.henry.com","Windows","08:58","15:16",6.6
